question,n,fitness_type,pop_size,max_generations,Pc,Pm,best_run_index,chromosome,total_weight,total_value,best_fitness
j_crossover_prob,60,simple,100,400,0.7,0.2,0,0111011111 1111111110 1001011111 1101111101 0110111101 1010110110,130.0,255.0,255.0
j_crossover_prob,60,full,100,400,0.7,0.2,0,1111111111 1111111111 1111011111 1111111111 1111101111 1111111111,183.0,331.0,3.08165272016982e+42
j_crossover_prob,60,stupid,100,400,0.7,0.2,3,1110011111 1111111111 1010111111 1100011111 0110111110 1011110011,128.0,255.0,6.141686703144572e+36
j_crossover_prob,60,simple,100,400,0.9,0.2,2,1111010111 1110011110 1100111110 1110110001 0111111111 1010111111,130.0,258.0,258.0
j_crossover_prob,60,full,100,400,0.9,0.2,3,1111111101 1111111111 1111111111 1111111111 1111111111 1111111101,183.0,331.0,3.9621249259326255e+42
j_crossover_prob,60,stupid,100,400,0.9,0.2,4,1100111111 1110111111 1011111110 1000111101 1111111101 1110110111,130.0,255.0,1.3155275856084043e+37
j_crossover_prob,60,simple,100,400,1.0,0.2,3,1110011111 1010011110 1011011111 1110111101 0111111111 1000111111,130.0,258.0,258.0
j_crossover_prob,60,full,100,400,1.0,0.2,0,1111111111 1111011110 1101111101 1111111111 1111111111 1111111101,178.0,324.0,2.3112395401273647e+41
j_crossover_prob,60,stupid,100,400,1.0,0.2,4,1110011110 1100110111 1111111111 1100111101 0101111110 1011110111,130.0,258.0,6.93241532630075e+36
j_crossover_prob,100,simple,100,400,0.6,0.2,5,1111110101 1111000100 1001101110 1111111001 0111011111 1000101111 1111111110 1111111101 1111110011 1110111100,213.0,413.0,413.0
j_crossover_prob,100,full,100,400,0.6,0.2,4,1101111101 1111111011 1111101111 1111111111 1101111101 0101111111 1101111110 1011111111 1110110111 1111111111,271.0,496.0,1.6300651912893393e+64
j_crossover_prob,100,stupid,100,400,0.6,0.2,2,1111111111 1110000111 0111110110 1110011001 1111101111 1010111110 1011111110 1101011111 0111101011 1110101111,213.0,415.0,1.9337470096799032e+58
j_crossover_prob,100,simple,100,400,0.7,0.2,0,0111110001 1111110111 1010110110 0111111101 0100011101 1100111111 1100110110 1111111111 1111011011 0110110111,211.0,416.0,416.0
j_crossover_prob,100,full,100,400,0.7,0.2,4,1101111111 1111001111 0111111111 1111011111 1111011101 1111011110 1111110111 0111110101 1111111111 1111111111,278.0,495.0,1.2225488934670053e+64
j_crossover_prob,100,stupid,100,400,0.7,0.2,5,0111111011 1110110111 1101111101 0111111101 1011010101 1000110110 1011111110 1101011101 1011111111 1110110111,213.0,417.0,3.0080509039465136e+58
j_crossover_prob,100,simple,100,400,0.9,0.2,3,1110111011 1011111110 1111000110 0111110011 1011101111 1010110111 0001111111 1100111110 1111010011 1111111110,213.0,414.0,414.0
j_crossover_prob,100,full,100,400,0.9,0.2,3,1111011101 1110111111 1101011110 1111111111 1111111111 1111111111 1010011011 1111111111 1110111111 1110111011,264.0,489.0,3.7732990539105074e+63
